participant_id,baseline,sc_ped
1,6.098,6.098
2,11.130666666666666,11.506333333333334
3,10.456999999999999,13.294333333333332
4,11.038666666666668,11.469333333333333
5,30.857333333333333,31.262333333333334
6,51.963039952870716,52.12637328620404
7,50.0638409485975,51.4808409485975
8,32.134166666666665,33.905833333333334
9,8.605333333333332,8.684666666666667
10,47.166328256500826,48.58499492316749
13,18.779056448748126,20.600556448748122
14,40.78343381018742,42.04293381018742
15,20.7425,20.7425
16,25.491833333333332,25.491833333333332
18,44.215333333333334,44.537333333333336
19,40.842194643254516,41.070861309921185
21,16.881666666666668,16.881666666666668
22,25.821458789119205,26.226458789119206
24,27.213158546989472,27.213158546989472
25,33.221426097441054,33.221426097441054
26,24.36416666666667,24.36416666666667
29,26.576741305677825,26.576741305677825
30,15.785166666666667,16.160833333333333
31,33.002781593175165,34.29978159317516
32,38.60683333333333,38.90783333333333
33,29.977532999405184,29.977532999405184
35,39.542833333333334,41.578833333333336
36,40.86916666666667,40.94616666666667
37,29.434619031406143,30.18728569807281
38,38.243367963608776,38.99186796360878
39,22.267333333333333,22.267333333333333
41,41.65266666666667,42.263999999999996
42,46.37892886830758,46.56559553497424
43,42.21883996625738,42.79983996625737
45,31.607062543294365,31.961729209961035
46,31.31784096925382,31.66084096925382
47,21.564,22.595333333333333
48,29.59848792266143,30.387154589328098
49,24.52076369143188,24.89409702476521
51,28.788277044274245,28.788277044274245
52,21.3525,21.3525
53,21.528333333333336,22.01833333333333
54,54.83412699617187,54.83412699617187
55,25.227480414915306,25.227480414915306
56,25.427,25.779333333333334
57,64.13846455596732,64.13846455596732
58,7.001166666666666,8.404166666666665
59,24.345166666666664,25.483166666666666
60,7.101666666666667,7.101666666666667
61,3.6303333333333327,3.6303333333333327
62,22.641166666666667,22.641166666666667
63,41.10549999999999,42.777499999999996
65,25.008333333333333,25.008333333333333
66,27.878666666666664,31.991333333333337
67,29.613615319036136,29.613615319036136
69,31.801333333333332,33.971999999999994
70,38.37160336538475,39.308936698718085
71,36.150168991714,36.53050232504734
72,21.26066666666667,21.50333333333333
73,49.691895023882466,50.7222283572158
74,38.63324009752877,38.63324009752877
75,33.705557740111985,35.83239107344532
77,27.93820780665181,28.122541139985145
78,41.80426281828162,43.64126281828162
79,24.411184872079758,26.387184872079757
80,3.8691666666666666,3.8691666666666666
81,46.99327781515004,48.55727781515004
83,70.3061493235457,71.1871493235457
84,10.864666666666666,10.864666666666666
86,16.799666666666667,18.708666666666666
87,71.92366666666666,71.92366666666666
89,20.90416666666666,21.309166666666663
90,30.180308043171355,30.180308043171355
91,29.825712501554904,30.059045834888238
92,14.589833333333331,14.589833333333331
93,15.033666666666665,15.407000000000002
94,5.169166666666667,6.924166666666666
95,45.64266666666667,48.145333333333326
96,48.31155420273818,48.94605420273818
97,11.491666666666667,11.491666666666667
98,20.77,21.204
99,30.00883449052877,30.00883449052877
100,24.142278257841173,24.809611591174505
101,7.586,10.137499999999998
103,19.02166666666667,20.212333333333333
104,11.095166666666668,11.410166666666665
105,20.379833333333334,20.70883333333333
106,43.72675863017727,43.72675863017727
107,23.42462577039769,23.42462577039769
109,18.7545,19.106833333333334
110,66.63818876669413,66.99285543336079
111,35.81168495337308,36.597018286706415
112,23.390855882166715,24.038855882166715
113,37.851881335946324,40.62838133594632
114,8.951500000000001,9.1125
116,21.323333333333334,21.323333333333334
117,28.735614048503685,29.38894738183702
118,71.41083333333333,72.02449999999999
119,41.892374336252914,43.53037433625292
120,14.853500000000002,15.518500000000001
121,75.1765659423702,75.1765659423702
122,52.80483333333333,54.527499999999996
123,17.0325,17.3615
124,26.990184580233027,29.342684580233026
125,103.94974459318723,105.45774459318724
126,3.0736666666666665,3.0736666666666665
127,59.04925859657917,59.04925859657917
128,9.131833333333333,9.131833333333333
129,26.737281814980683,26.737281814980683
130,49.151333333333334,50.44633333333333
131,18.433,19.367666666666665
133,10.559666666666667,10.559666666666667
134,44.88661304994023,46.71061304994023
135,18.195166666666665,19.613833333333332
137,7.667166666666667,10.318666666666667
138,6.225333333333334,6.225333333333334
139,66.14189056543444,66.81389056543443
140,50.094529757512305,50.64519642417898
141,8.5275,8.791166666666665
142,96.24524424404416,98.11291091071081
143,32.48949999999999,33.50716666666666
145,33.591833333333334,34.37716666666667
146,6.605666666666666,6.717666666666666
147,17.392989888672556,17.392989888672556
148,27.005446538331736,27.005446538331736
149,8.869,9.221333333333334
150,30.061796666317793,30.061796666317793
151,12.884333333333332,13.873666666666669
152,35.87885239064666,38.14651905731333
153,26.708862837457094,26.991196170790424
154,24.263666666666666,24.480666666666668
156,30.72943304750342,31.80959971417009
157,58.36599999999999,60.055166666666665
158,22.1785,22.731499999999997
159,21.107,21.459333333333333
160,8.437166666666666,8.7195
161,12.838666666666665,13.109333333333332
163,66.1815,66.84316666666666
164,43.477,44.03699999999999
165,16.801917814856047,16.801917814856047
166,31.437218072141825,31.518884738808495
167,35.85849999999999,37.6065
168,5.180666666666666,5.180666666666666
169,12.034333333333333,12.034333333333333
170,56.907130444262776,57.245463777596115
171,41.270833333333336,41.270833333333336
172,34.521166666666666,36.6185
173,32.74999999999999,32.74999999999999
174,10.460666666666667,11.504333333333335
175,65.55280449086649,65.94013782419984
177,13.961833333333331,14.125166666666667
178,36.54770925118385,38.35720925118386
179,35.02998014580851,35.02998014580851
181,31.98627731017872,32.44361064351205
182,10.222,10.474
184,10.069833333333333,10.870166666666666
185,39.461499999999994,40.4875
186,26.427166666666665,26.8005
187,18.107833333333332,19.3655
188,30.1465,30.551499999999997
189,10.819833333333333,11.123166666666666
190,56.29783333333333,59.515166666666666
192,29.75053322592249,31.191366559255826
193,24.27210182564633,24.27210182564633
194,52.66997170985385,52.66997170985385
195,9.181833333333334,9.814166666666667
196,49.02139527297743,50.47939527297743
197,21.957166666666666,21.957166666666666
198,21.087031031096974,21.087031031096974
199,25.482,26.121333333333332
200,31.061039554935682,31.34803955493569
201,26.191838996720676,26.48583899672068
202,33.335166666666666,35.26566666666667
204,35.1807903323012,35.7547903323012
205,72.21550615370222,73.03733948703555
206,4.3865,4.3865
207,81.46870689904782,83.18437356571448
208,18.249833333333335,18.532166666666665
209,37.240123560665126,37.240123560665126
210,25.468708743721656,25.468708743721656
211,12.579,12.819333333333333
212,47.94233333333334,51.007666666666665
213,27.803666666666665,29.424333333333333
214,24.93925221176131,24.93925221176131
218,38.99870252467741,39.69070252467742
219,44.117666666666665,44.75233333333333
220,28.96866666666667,29.239333333333335
221,23.435,24.870833333333334
222,11.547,12.576
223,46.43729103820566,46.92029103820566
224,6.7065,9.261833333333334
225,26.55705200278492,26.55705200278492
226,44.10153199785656,44.10153199785656
227,22.72479304717017,23.042126380503504
228,24.44347607537815,24.44347607537815
229,55.1529785754735,55.1529785754735
231,3.894,4.2043333333333335
232,29.80067909543279,30.211345762099455
234,15.404666666666664,15.404666666666664
235,35.70382984685978,36.750329846859785
237,55.42326712626722,56.84926712626722
238,30.556002288868694,30.77533562220203
239,19.289666666666662,21.41533333333333
240,7.307999999999999,7.307999999999999
241,31.783499999999997,31.783499999999997
242,7.463666666666667,7.463666666666667
244,54.905833333333334,56.9855
245,36.60808042038586,37.051413753719196
246,58.96911975128842,59.575786417955086
247,11.540833333333332,11.540833333333332
248,35.17099043726972,35.96432377060306
250,52.01382144086524,53.01848810753191
252,25.09945500600645,25.09945500600645
254,27.28611130180314,27.28611130180314
255,56.74716666666666,59.6825
256,41.443,42.132666666666665
257,23.113666666666667,23.113666666666667
258,38.278166666666664,38.688833333333335
261,16.720666666666666,18.068166666666666
262,23.395487076866537,23.64982041019987
263,22.444554245973706,22.815554245973704
264,16.990000000000002,16.99
265,35.23821598896813,35.60921598896813
266,26.151389196976073,26.151389196976073
267,39.46676457219394,41.00909790552728
268,62.41208755987131,63.43642089320464
269,26.072833333333335,28.5205
270,34.885333333333335,35.13733333333333
271,16.0025,16.0025
272,40.653454365434214,40.653454365434214
273,20.301666666666666,23.099500000000003
274,40.837962187483456,42.25662885415012
275,66.06933333333333,68.582
277,66.93519793130073,67.11719793130072
278,42.230342130559336,43.800675463892674
279,44.59421935289528,44.59421935289528
280,15.964500000000001,16.2305
281,30.0164897329161,30.9749897329161
283,18.653666666666666,19.058666666666667
284,19.408547737715384,19.751547737715384
285,10.302499999999998,10.643166666666666
286,26.810000000000002,27.078333333333333
287,17.272000000000002,17.540333333333333
288,43.89233333333333,44.64133333333333
289,34.27729894014392,34.63196560681058
291,20.641000000000002,20.925666666666665
292,40.798461566476114,42.69846156647611
293,14.240333333333332,14.645333333333333
294,22.693333333333335,25.47383333333333
295,22.77766666666667,22.77766666666667
296,29.10928256686438,29.67628256686438
297,31.059833926637083,31.141500593303746
298,16.579166666666666,17.223166666666664
299,21.12590695550366,21.12590695550366
300,17.696166666666667,17.696166666666667
301,39.55166290324402,39.55166290324402
302,7.1513333333333335,7.454666666666667
304,22.71383333333333,24.9105
305,10.780166666666666,10.980833333333333
306,5.705166666666667,5.705166666666667
307,25.557,25.557
308,32.467803663745556,32.467803663745556
309,8.4505,11.363833333333334
310,71.71333333333332,71.71333333333332
311,71.63448868837551,72.18415535504217
312,5.188166666666667,5.503166666666666
313,13.936666666666667,13.936666666666667
314,34.396888407455755,34.396888407455755
315,13.861333333333333,14.094666666666665
316,11.868333333333332,11.868333333333332
317,32.08325753921426,32.4215908725476
318,7.974,7.974
319,38.11699999999999,39.10766666666667
320,74.760971353884,75.47630468721732
321,17.26985890946444,17.60819224279777
322,13.291333333333334,13.291333333333334
323,12.99,13.9755
324,30.978166666666663,30.978166666666663
325,21.874380136024378,22.173046802691044
327,46.422384449538185,49.832217782871524
328,20.333940285309936,20.60927361864327
329,50.155183819623915,50.48651715295725
330,24.837775692944668,25.197109026278
331,43.12058907666924,45.632755743335906
332,39.64009287691593,39.64009287691593
333,31.420333333333335,31.784333333333336
334,21.2115,21.542833333333334
335,25.621493979808598,25.84082731314193
336,60.69545901748664,61.43279235081997
337,33.764499835088515,34.35716650175518
338,8.284333333333333,8.961
339,14.508000000000001,14.508000000000001
341,54.24183333333334,54.24183333333334
343,23.320833333333333,24.4445
344,6.330166666666667,6.964666666666666
345,42.190999999999995,44.619
346,4.470666666666667,5.788
348,26.321579516406377,26.57357951640638
349,47.2055,48.073499999999996
351,31.565720992455773,32.11922099245577
352,17.5265,17.5265
353,30.12683333333333,30.12683333333333
354,37.62737015434161,39.70970348767494
355,32.25539839925866,33.10589839925866
356,26.55383333333333,27.363833333333332
357,37.24575974959848,37.46042641626514
361,34.36147920878168,34.66247920878168
362,8.230333333333334,8.230333333333334
363,7.382666666666666,7.382666666666666
365,41.223,41.223
366,12.867333333333333,13.844
367,21.719833333333334,23.9105
