sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_20,0.01850312390673099,0.0044277710797238365,0.03339034513927266,1.8699294976139385e-4,0.0013863074265351948,1.8428448189190076e-4,0,0,0
female_21,0.01799430993979279,0.004046186550688117,0.031736368881429694,1.9674688596631385e-4,0.0014620345185589179,1.9498330848052332e-4,0,0,0
female_22,0.017448627616738082,0.0037357420302965945,0.030213327301790993,2.0660051099126054e-4,0.0015352674699818467,2.0641769631271552e-4,0,0,0
female_23,0.01692428611281105,0.0034740018121824675,0.02879510108609471,2.1714006140586498e-4,0.0016042132256362837,2.184057998504754e-4,0,0,0
female_24,0.016370546488341256,0.0032643152014806068,0.027559472104571422,2.2806566167894547e-4,0.0016749235457061422,2.3087950451421493e-4,0,0,0
female_25,0.01586775978518835,0.0030873516218098067,0.026365308138387396,2.3954014775075274e-4,0.0017443628312750908,2.443905453729892e-4,0,0,0
female_26,0.015375822251695384,0.0029498729624181375,0.02538594331280252,2.512657009557203e-4,0.0018171901679663943,2.585527027311948e-4,0,0,0
female_27,0.014946414306767564,0.0028400683595440138,0.02462023020283161,2.6343731618357557e-4,0.0018970215969024904,2.7384408899749116e-4,0,0,0
female_28,0.014498738320862428,0.0027567545996528327,0.023983013610916412,2.766342304103724e-4,0.0019755724607480414,2.9005955210445195e-4,0,0,0
female_29,0.014073374986147288,0.002703376517705069,0.02350666384721128,2.916712295345506e-4,0.0020636701584976973,3.07745655029777e-4,0,0,0
female_30,0.013654030676955729,0.0026669826295183142,0.023198835531540292,3.0790641389778805e-4,0.002153902955074234,3.2615599256783853e-4,0,0,0
female_31,0.013260990643897573,0.002645941601897673,0.02301180626813615,3.266179359644088e-4,0.002258371256051525,3.456174402181832e-4,0,0,0
female_32,0.012853349478138112,0.002642395908762591,0.023023211591680456,3.470995287076445e-4,0.002366201958655951,3.665822142891012e-4,0,0,0
female_33,0.012467601550993421,0.002650409976580238,0.023166393124274952,3.711114517050422e-4,0.0024828831696015897,3.89049780254541e-4,0,0,0
female_34,0.012098541913317573,0.002675613293871493,0.023454767335992742,3.975571384534552e-4,0.0026084106368842223,4.127957342749837e-4,0,0,0
female_35,0.011735777079460637,0.002711628449243803,0.02386868613666753,4.2807887843210996e-4,0.0027428062432181587,4.385785762701425e-4,0,0,0
female_36,0.011387578263876664,0.0027527588974495653,0.024431356187538708,4.6376340724757e-4,0.002880761014475604,4.656675644067565e-4,0,0,0
female_37,0.011083553226199734,0.0028004993498881017,0.02506508957367,5.045162778010627e-4,0.0030189732315411538,4.957025213631091e-4,0,0,0
female_38,0.01077397725548579,0.0028577262626336784,0.025857718674907916,5.499986321308326e-4,0.0031603949098399564,5.282334745675852e-4,0,0,0
female_39,0.010475230180149668,0.002915773054853466,0.026726754956262637,6.03410724037886e-4,0.0033033815140700597,5.629058021433488e-4,0,0,0
female_40,0.010197610353064346,0.0029749342248305702,0.027663683113387374,6.638224236413498e-4,0.0034453257683347616,6.001340653889796e-4,0,0,0
female_41,0.009928264138489143,0.0030323413243671642,0.028645790001537212,7.312913030050126e-4,0.003587217997562308,6.402782882004981e-4,0,0,0
female_42,0.009679918893649189,0.0030847437730420813,0.02961517719662276,8.077231199935082e-4,0.0037205299953388376,6.835301379714658e-4,0,0,0
female_43,0.009426819954511965,0.003132706429796573,0.030626988762002552,8.928173179297761e-4,0.0038494615629906586,7.301727033268675e-4,0,0,0
female_44,0.009163750235657107,0.0031801221741216187,0.031530168708363254,9.869407137341746e-4,0.00397086339959507,7.804744434509669e-4,0,0,0
female_45,0.008920134006611537,0.0032192126337589225,0.032408119070125134,0.0010921357449540955,0.004089234729483317,8.342141777859296e-4,0,0,0
female_46,0.00868700105561837,0.003255454030716743,0.03321621625301983,0.0012072814580733038,0.004202130879700365,8.927907127138314e-4,0,0,0
female_47,0.008468025426047437,0.0032848201844328335,0.03387687123305949,0.0013318698279746741,0.004303517646324119,9.564877815366008e-4,0,0,0
female_48,0.008264938394765848,0.0033110911328774854,0.03442738683420235,0.0014680662619063556,0.0044099553518675986,0.0010244109574295657,0,0,0
female_49,0.008050581222253467,0.0033387756217274577,0.03486675538932564,0.001617487789949227,0.004517406667044874,0.0010988858770148093,0,0,0
female_50,0.007866769608715988,0.0033604654788617055,0.03513518881345815,0.0017749077018623521,0.00462627492711641,0.0011800518254529734,0,0,0
female_51,0.0076897676112891635,0.0033816591138214097,0.03526392730187353,0.0019422279373654892,0.00474003160585423,0.001267311428979121,0,0,0
